Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
146.10456875000037,1720,,,,0.01171875,0.0583984375,-0.40673828125,-1.0544718695846786,-3.4398141356508907,22.6904217985466,32.966146020119,0,0,748.0156313808938,0,0,0,0,1.64755859375,,
152.1276200000003,1675,,,,-0.019140625,0.00751953125,-0.72685546875,-0.9577274454486906,-3.1386776506017156,22.816855928237707,27.580837065552338,0,0,629.3080815400863,0,0,0,0,1.99580078125,,
158.15098400000028,1630,,,,-0.00478515625,0.03486328125,-1.33671875,-0.8711649317106408,-2.887548372721889,22.92294043059875,23.07482856266989,0,0,528.942563831826,0,0,0,0,1.799609375,,
164.10198225000033,1585,,,,-0.0125,0.02177734375,-1.0041015625,-0.7735887756121054,-2.566254285391242,23.076342066955277,18.471885114934985,0,0,426.2634855744956,0,0,0,0,1.86865234375,,
170.1318720000003,1540,,,,0.0115234375,-0.02578125,-1.01484375,-0.6777170564281901,-2.2395748001764693,23.233273748820913,14.163061392058978,0,0,329.0542213882034,0,0,0,0,1.8830078125,,
176.07699825000032,1495,,,,0.0181640625,-0.01796875,-1.02236328125,-0.5953311005667408,-1.9838871941460354,23.353954071054677,10.62426178075787,0,0,248.11843589701007,0,0,0,0,1.8240234375,,
182.1803310000003,1450,,,,-0.0091796875,0.0671875,-0.96748046875,-0.492324014952412,-1.6459400210481843,23.502872426370605,7.056132475762029,0,0,165.83935741853946,0,0,0,0,1.66689453125,,
188.12979100000024,1405,,,,0.03125,-0.00341796875,-1.0044921875,-0.4130487442400093,-1.3986017381703912,23.61407198276538,4.441955073039568,0,0,104.89257658437914,0,0,0,0,1.1333984375,,
194.05072025000044,1360,,,,0.01298828125,0.023828125,-0.99560546875,-0.3300647956278181,-1.1139127598454621,23.724976478058814,1.8662767039383497,0,0,44.27736681210555,0,0,0,0,1.10517578125,,
199.98967000000044,1315,,,,0.028125,0.0076171875,-1.0056640625,-0.26440988560336864,-0.895457318007806,23.802055688026513,0.036094231307745486,0,0,0.8591137783237197,0,0,0,0,0.85966796875,,
206.09433025000044,1270,,,,0.01875,0.00458984375,-1.0025390625,-0.20869433479029603,-0.701488149611539,23.861399524603996,-1.4325835169030687,0,0,34.183454617532405,0,0,0,0,0.49951171875,,
212.1522035000002,1225,,,,0.01767578125,0.0359375,-0.98583984375,-0.15402207407230847,-0.513749506081755,23.91278902543217,-2.518343501453197,0,0,60.220617672532775,0,0,0,0,0.56142578125,,
218.26203875000033,1180,,,,0.02041015625,0.0220703125,-1.00029296875,-0.10827159724683325,-0.3554882157795499,23.95112285553174,-3.3345778064073754,0,0,79.86688345678388,0,0,0,0,0.51787109375,,
224.44837900000024,1135,,,,0.01904296875,0.01982421875,-0.99208984375,-0.07584283174547475,-0.2397631557821534,23.978584604701247,-3.8550302045128797,0,0,92.43817656396216,0,0,0,0,0.70126953125,,
230.62444850000026,1090,,,,0.02470703125,0.02216796875,-0.99501953125,-0.05026700441249447,-0.16020570962612157,23.99554543094446,-4.228025450528817,0,0,101.45377664850281,0,0,0,0,0.16279296875,,
236.59161775000024,1045,,,,0.00029296875,0.0544921875,-0.9712890625,-0.040170811899774055,-0.10900537842677846,24.0091293496643,-4.475906870274683,0,0,107.46262729941479,0,0,0,0,0.05859375,,
242.72105600000017,1000,,,,0.00068359375,0.05390625,-0.97275390625,-0.0402786006062326,-0.11015302786374574,24.013271634687875,-4.473671246741789,0,0,107.42748330654608,0,0,0,0,0.05859375,,
249.03574225000028,1000,,,,0.00048828125,0.054296875,-0.9728515625,-0.040238238048203895,-0.10920669118283985,24.0160103848311,-4.472244046407039,0,0,107.4054594376556,0,0,0,0,0.05859375,,
255.0676925000004,1045,,,,0,0.0546875,-0.97216796875,-0.04023050995857268,-0.10896972274529941,24.018210007180688,-4.47334535056355,0,0,107.44174827554544,0,0,0,0,0.05859375,,
261.17076650000047,1090,,,,0.00029296875,0.0544921875,-0.971484375,-0.04027630190133537,-0.10952857438362115,24.02043073644663,-4.473387297231258,0,0,107.45268995192173,0,0,0,0,0.05859375,,
